topic,folder,source_pptx,source_media,output_file,width,height,format,processing
İtalya Dev Yerçekimi Bataryası,italya_dev_yercekimi_bataryasi,Italy_s_Giant_Gravity_Battery.pptx,ppt/media/image1.png,italya_dev_yercekimi_bataryasi/italya_dev_yercekimi_bataryasi_01.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
İtalya Dev Yerçekimi Bataryası,italya_dev_yercekimi_bataryasi,Italy_s_Giant_Gravity_Battery.pptx,ppt/media/image2.png,italya_dev_yercekimi_bataryasi/italya_dev_yercekimi_bataryasi_02.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
İtalya Dev Yerçekimi Bataryası,italya_dev_yercekimi_bataryasi,Italy_s_Giant_Gravity_Battery.pptx,ppt/media/image3.png,italya_dev_yercekimi_bataryasi/italya_dev_yercekimi_bataryasi_03.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
İtalya Dev Yerçekimi Bataryası,italya_dev_yercekimi_bataryasi,Italy_s_Giant_Gravity_Battery.pptx,ppt/media/image4.png,italya_dev_yercekimi_bataryasi/italya_dev_yercekimi_bataryasi_04.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
İtalya Dev Yerçekimi Bataryası,italya_dev_yercekimi_bataryasi,Italy_s_Giant_Gravity_Battery.pptx,ppt/media/image5.png,italya_dev_yercekimi_bataryasi/italya_dev_yercekimi_bataryasi_05.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
İtalya Dev Yerçekimi Bataryası,italya_dev_yercekimi_bataryasi,Italy_s_Giant_Gravity_Battery.pptx,ppt/media/image6.png,italya_dev_yercekimi_bataryasi/italya_dev_yercekimi_bataryasi_06.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
İtalya Dev Yerçekimi Bataryası,italya_dev_yercekimi_bataryasi,Italy_s_Giant_Gravity_Battery.pptx,ppt/media/image7.png,italya_dev_yercekimi_bataryasi/italya_dev_yercekimi_bataryasi_07.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
İtalya Dev Yerçekimi Bataryası,italya_dev_yercekimi_bataryasi,Italy_s_Giant_Gravity_Battery.pptx,ppt/media/image8.png,italya_dev_yercekimi_bataryasi/italya_dev_yercekimi_bataryasi_08.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
İtalya Dev Yerçekimi Bataryası,italya_dev_yercekimi_bataryasi,Italy_s_Giant_Gravity_Battery.pptx,ppt/media/image9.png,italya_dev_yercekimi_bataryasi/italya_dev_yercekimi_bataryasi_09.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
İtalya Dev Yerçekimi Bataryası,italya_dev_yercekimi_bataryasi,Italy_s_Giant_Gravity_Battery.pptx,ppt/media/image10.png,italya_dev_yercekimi_bataryasi/italya_dev_yercekimi_bataryasi_10.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
İtalya Dev Yerçekimi Bataryası,italya_dev_yercekimi_bataryasi,Italy_s_Giant_Gravity_Battery.pptx,ppt/media/image11.png,italya_dev_yercekimi_bataryasi/italya_dev_yercekimi_bataryasi_11.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
İtalya Dev Yerçekimi Bataryası,italya_dev_yercekimi_bataryasi,Italy_s_Giant_Gravity_Battery.pptx,ppt/media/image12.png,italya_dev_yercekimi_bataryasi/italya_dev_yercekimi_bataryasi_12.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image1.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_01.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image2.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_02.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image3.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_03.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image4.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_04.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image5.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_05.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image6.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_06.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image7.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_07.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
