hesId,status,fullnessPercent,sourceClass,source,provider,method,observedAt,sourcePublishedAt,fetchedAt,freshnessDays,freshnessLabel,confidence,isEstimated,storageType,epiasMatch,dsiMatch,dahitiMatch,hydrowebMatch,copernicusMatch,swotMatch,gRealmMatch,gdwMatch,candidateSourceCount,bestCatalogSource,bestCatalogSourceUrl,bestCatalogDistanceKm,catalogConfidence,fullnessDirectlyAvailable,fullnessCanBeCalculated,reasonUnavailable
hes177-002,stale,1.6304347826086956,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-003,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-004,stale,5.591118671381889,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-005,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,False,0,,,,,False,False,Rezervuar eşleşmesi bulunamadı
hes177-006,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-007,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-008,stale,70.07055328629782,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-009,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-010,stale,72.65933854016005,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-011,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-012,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-014,stale,41.985822959889354,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-015,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-017,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-018,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-019,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-020,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-022,stale,61.00510297065792,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,True,False,False,False,True,2,hydroweb,https://hydroweb.next.theia-land.fr/api/catalog/stac/collections/HYDROWEB_LAKES_OPE/items/L_aslantas%40hysope2%3Afe6f40f0-6e42-36d4-b064-16299bab2d17%3AV1,0.35,high,False,True,
hes177-023,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-025,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-026,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-027,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-028,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-032,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-033,stale,68.54545454545456,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-035,stale,90.841059602649,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-036,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-037,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-039,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-042,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-043,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-045,stale,34.431023521932616,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-046,stale,100.0,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-048,stale,17.4059694917121,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,True,False,False,False,True,2,hydroweb,https://hydroweb.next.theia-land.fr/api/catalog/stac/collections/HYDROWEB_LAKES_OPE/items/L_catalan%40hysope2%3A7382f91e-a4dd-3486-8be1-31c8dad86ab7%3AV1,0.21,high,False,True,
hes177-051,stale,86.23188405797103,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-052,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-054,stale,51.837060702875405,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-055,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-056,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-057,stale,43.47860207177985,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-058,stale,63.31749264539489,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-059,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-060,stale,80.85106382978724,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-061,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-062,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,False,0,,,,,False,False,Rezervuar eşleşmesi bulunamadı
hes177-064,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-065,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-066,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-068,stale,75.37598718095452,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-069,stale,22.857142857142854,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-070,stale,83.62160254147548,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-071,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-072,stale,53.36795478845272,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-073,stale,55.17864402186188,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-075,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-076,stale,29.919028340080967,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-077,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-079,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-080,stale,58.13295615275813,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
